countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category
Tahiti,210,109,73,28,28,22,12,81,51,16,15,6,5,4,564,350,30,24,Team_with_Fifa_Rank( 90--179)

Gambia,216,52,99,65,23,40,24,29,59,41,31,8,10,13,200,304,26,34,Team_with_Fifa_Rank( 90--179)

Hong Kong,389,127,175,87,48,44,27,79,131,60,46,17,17,12,580,646,58,52,Team_with_Fifa_Rank( 90--179)

Singapore,556,168,280,108,68,88,42,100,192,66,55,17,27,11,731,1028,61,84,Team_with_Fifa_Rank( 90--179)

Malaysia,603,210,243,150,48,69,43,162,174,107,63,25,25,13,908,923,93,92,Team_with_Fifa_Rank( 90--179)

Guinea-Bissau,149,42,76,31,12,12,3,30,64,28,32,9,17,6,147,232,26,51,Team_with_Fifa_Rank( 180--269)

Saarland,9,1,6,2,0,4,1,1,2,1,0,0,0,0,10,26,0,0,Team_with_Fifa_Rank( 180--269)

Burundi,191,59,84,48,9,13,12,50,71,36,44,13,19,12,204,245,52,57,Team_with_Fifa_Rank( 90--179)

Kernow,11,6,3,2,6,3,2,0,0,0,1,1,0,0,30,18,5,0,Team_with_Fifa_Rank( 180--269)

Cambodia,225,48,146,31,8,32,8,40,114,23,56,16,35,5,252,586,65,126,Team_with_Fifa_Rank( 90--179)

Thailand,640,237,255,148,47,44,25,190,211,123,58,24,20,14,981,1004,84,69,Team_with_Fifa_Rank( 90--179)

Vietnam Republic,153,66,60,27,8,5,5,58,55,22,0,0,0,0,281,265,0,0,Team_with_Fifa_Rank( 180--269)

Kyrgyzstan,146,44,79,23,9,33,13,35,46,10,43,20,15,8,160,250,62,53,Team_with_Fifa_Rank( 90--179)

Moldova,245,45,141,59,21,39,32,24,102,27,61,5,40,16,193,414,27,113,Team_with_Fifa_Rank( 90--179)

North Vietnam,24,7,14,3,5,12,2,2,2,1,0,0,0,0,49,52,0,0,Team_with_Fifa_Rank( 180--269)

Togo,389,119,168,102,53,77,41,66,91,61,47,11,18,18,419,529,46,52,Team_with_Fifa_Rank( 90--179)

